# OSD-522 shoot proteome — SOL/MEM reconciliation
# proteins seen in both fractions; the row with the smaller adjusted p-value was kept
accession	gene	kept_fraction	kept_log2fc	kept_adj_p	dropped
P25697	At1g32060	MEM	0.6000	0.1852	SOL log2fc=0.110 adj_p=0.463
P25851	CFBP1	SOL	-0.1500	0.5919	MEM log2fc=-0.280 adj_p=0.974
P25855	GDH1	MEM	0.1300	0.3778	SOL log2fc=-0.110 adj_p=0.516
P25856	GAPA1	MEM	-0.4300	0.004122	SOL log2fc=-0.230 adj_p=0.117
P25857	GAPB	MEM	-0.1800	0.2467	SOL log2fc=-0.080 adj_p=0.396
P25864	RPL9	SOL	-0.0400	0.524	MEM log2fc=0.030 adj_p=0.805
P25873	RPL15	MEM	0.8200	0.008363	SOL log2fc=0.870 adj_p=0.135
P26568	At1g06760	SOL	0.3800	0.04607	MEM log2fc=0.720 adj_p=0.0738
P26569	At2g30620	SOL	0.1300	0.05035	MEM log2fc=-0.230 adj_p=0.465
P27323	HSP90-1	MEM	0.3900	0.05442	SOL log2fc=0.050 adj_p=0.54
P28188	RABD2A	MEM	0.7500	0.05675	SOL log2fc=0.270 adj_p=0.134
P28769	CCT1	MEM	0.3800	0.02451	SOL log2fc=0.480 adj_p=0.155
P29197	CPN60	MEM	0.2600	0.05988	SOL log2fc=-0.090 adj_p=0.167
P29402	CNX1	SOL	0.3000	0.04658	MEM log2fc=-0.080 adj_p=0.133
P29513	TUBB5	MEM	0.2800	0.05592	SOL log2fc=-0.110 adj_p=0.391
P29514	TUBB6	MEM	-0.0300	0.4453	SOL log2fc=-0.060 adj_p=0.451
P29515	TUBB7	MEM	0.0400	0.8086	SOL log2fc=-0.010 adj_p=0.951
P29516	TUBB8	MEM	0.4700	0.05217	SOL log2fc=-0.180 adj_p=0.445
P29517	TUBB9	MEM	0.7200	0.01173	SOL log2fc=0.180 adj_p=0.0825
P29976	DHS1	MEM	-0.8800	0.01479	SOL log2fc=-0.280 adj_p=0.025
P30184	LAP1	SOL	-0.1400	0.04535	MEM log2fc=0.160 adj_p=0.217
P31167	AAC1	MEM	-0.2200	0.1025	SOL log2fc=-0.680 adj_p=0.328
P31168	COR47	SOL	0.8100	0.01798	MEM log2fc=0.230 adj_p=0.375
P31169	KIN2	MEM	0.7500	0.0916	SOL log2fc=1.000 adj_p=0.312
P31265	TCTP1	MEM	0.3700	0.1089	SOL log2fc=-0.030 adj_p=0.956
P31414	AVP1	MEM	-0.1100	0.11	SOL log2fc=-1.140 adj_p=0.122
P32826	SCPL49	MEM	0.4100	0.009329	SOL log2fc=-0.240 adj_p=0.211
P32961	NIT1	MEM	1.5300	0.03032	SOL log2fc=0.330 adj_p=0.131
P32962	NIT2	SOL	0.2600	0.1917	MEM log2fc=0.140 adj_p=0.258
P33207	At1g24360	MEM	1.0200	0.04476	SOL log2fc=0.290 adj_p=0.0662
P34066	PAF1	SOL	0.0200	0.697	MEM log2fc=0.090 adj_p=0.72
P34788	RPS18A	MEM	0.5500	0.07737	SOL log2fc=-0.050 adj_p=0.262
P34790	CYP18-3	MEM	0.5600	0.00612	SOL log2fc=0.100 adj_p=0.0849
P34791	CYP20-3	MEM	0.7700	0.05374	SOL log2fc=-0.210 adj_p=0.123
P34802	GGPPS1	SOL	-0.2200	0.1283	MEM log2fc=-0.220 adj_p=0.32
P35510	PAL1	MEM	0.3300	0.008687	SOL log2fc=0.390 adj_p=0.285
P35614	ERF1-3	SOL	-0.2500	0.1669	MEM log2fc=0.040 adj_p=0.691
P36210	RPL12A	MEM	-0.3600	0.3028	SOL log2fc=-0.140 adj_p=0.456
P36428	ALATS	SOL	-0.1100	0.04535	MEM log2fc=0.110 adj_p=0.444
P37107	FFC	MEM	0.3100	0.1326	SOL log2fc=0.000 adj_p=0.731
P37702	TGG1	MEM	-1.4700	0.02982	SOL log2fc=-1.400 adj_p=0.0526
P38025	PUR7	MEM	0.2300	0.1234	SOL log2fc=-0.070 adj_p=0.165
P38418	LOX2	MEM	-0.8700	0.01656	SOL log2fc=-0.870 adj_p=0.0397
P38420	NRPB2	MEM	-0.9600	0.01838	SOL log2fc=-0.260 adj_p=0.722
P38605	CAS1	SOL	-0.4700	0.04026	MEM log2fc=-0.120 adj_p=0.327
P38666	RPL24B	SOL	0.6700	0.08652	MEM log2fc=-0.090 adj_p=0.197
P39207	NDK1	MEM	0.5900	0.04396	SOL log2fc=0.090 adj_p=0.417
P40283	At5g59910	MEM	0.9800	0.04392	SOL log2fc=0.390 adj_p=0.0565
P41088	CHI1	MEM	-0.0500	0.569	SOL log2fc=0.120 adj_p=0.663
P41568	At4g27130	MEM	0.9300	0.05904	SOL log2fc=-0.120 adj_p=0.486
P41916	RAN1	MEM	-0.1300	0.06134	SOL log2fc=0.250 adj_p=0.132
P42036	RPS14C	MEM	0.2900	0.0595	SOL log2fc=0.230 adj_p=0.256
P42643	GRF1	MEM	0.1000	0.1807	SOL log2fc=0.070 adj_p=0.29
P42644	GRF3	SOL	0.3500	0.08658	MEM log2fc=0.330 adj_p=0.101
P42731	PAB2	MEM	0.4100	0.03709	SOL log2fc=-0.320 adj_p=0.216
P42732	RPS13	MEM	1.0800	0.01244	SOL log2fc=-0.230 adj_p=0.175
P42733	RPS11C	SOL	-0.2900	0.2138	MEM log2fc=0.140 adj_p=0.455
P42734	CAD9	MEM	0.2000	0.02502	SOL log2fc=-0.040 adj_p=0.552
P42742	PBF1	MEM	1.0600	0.0188	SOL log2fc=-0.280 adj_p=0.183
P42744	AXR1	MEM	-0.2400	0.01196	SOL log2fc=-0.430 adj_p=0.0715
P42759	ERD10	SOL	0.3000	0.02496	MEM log2fc=-0.240 adj_p=0.25
P42760	GSTF6	MEM	1.4800	0.006832	SOL log2fc=-0.200 adj_p=0.799
P42761	GSTF10	SOL	-0.0800	0.387	MEM log2fc=-0.380 adj_p=0.404
P42762	CLPD	MEM	-1.0000	0.01263	SOL log2fc=-0.320 adj_p=0.309
P42763	ERD14	MEM	0.4900	0.01832	SOL log2fc=0.710 adj_p=0.07
P42770	EMB2360	SOL	0.1900	0.05595	MEM log2fc=0.090 adj_p=0.395
P42791	RPL18B	SOL	0.7100	0.07154	MEM log2fc=0.110 adj_p=0.646
P42794	RPL11B	SOL	0.3100	0.1008	MEM log2fc=-0.140 adj_p=0.22
P42798	RPS15AA	MEM	0.5200	0.02012	SOL log2fc=0.430 adj_p=0.0528
P42799	GSA1	MEM	0.4200	0.07825	SOL log2fc=-0.010 adj_p=0.91
P42825	ATJ2	MEM	-0.2400	0.2064	SOL log2fc=0.060 adj_p=0.62
P43082	HEL	MEM	-0.5400	0.09228	SOL log2fc=-0.290 adj_p=0.79
P43297	RD21A	SOL	0.2200	0.1815	MEM log2fc=-0.010 adj_p=0.632
P43333	At1g09760	MEM	-0.6100	0.1187	SOL log2fc=0.080 adj_p=0.795
P45432	CSN1	SOL	-0.5000	0.05669	MEM log2fc=0.200 adj_p=0.202
P45724	PAL2	MEM	-0.4200	0.1847	SOL log2fc=0.060 adj_p=0.548
P46086	At5g27450	SOL	-0.0500	0.4587	MEM log2fc=-0.050 adj_p=0.531
P46283	At3g55800	SOL	-0.2600	0.07227	MEM log2fc=0.750 adj_p=0.12
P46286	RPL8A	SOL	-0.2100	0.3215	MEM log2fc=-0.040 adj_p=0.437
P46309	GSH1	SOL	-0.2300	0.0509	MEM log2fc=-0.070 adj_p=0.651
P46416	GSH2	MEM	-0.5600	0.005296	SOL log2fc=-0.150 adj_p=0.0708
P46421	GSTU5	MEM	0.1900	0.2223	SOL log2fc=0.140 adj_p=0.297
P46422	GSTF2	SOL	-0.2500	0.09151	MEM log2fc=-0.110 adj_p=0.548
P46643	ASP1	MEM	0.7000	0.004283	SOL log2fc=0.080 adj_p=0.299
P46644	ASP3	MEM	-0.1900	0.0577	SOL log2fc=0.200 adj_p=0.0999
P46645	ASP2	MEM	0.5100	0.02191	SOL log2fc=0.080 adj_p=0.273
P47924	RIBA1	MEM	-0.6600	0.04749	SOL log2fc=-0.030 adj_p=0.355
P47996	IMPDH	MEM	-0.4200	0.03499	SOL log2fc=-0.080 adj_p=0.371
P47998	OASA1	MEM	0.4600	0.04282	SOL log2fc=0.340 adj_p=0.0772
P47999	OASB	MEM	0.4900	0.1343	SOL log2fc=0.340 adj_p=0.17
P48006	At1g30230	MEM	1.8000	0.003684	SOL log2fc=-0.070 adj_p=0.158
P48347	GRF10	MEM	0.2500	0.0135	SOL log2fc=0.020 adj_p=0.883
P48348	GRF8	MEM	0.8900	0.02943	SOL log2fc=-0.110 adj_p=0.424
P48491	CTIMC	MEM	0.5500	0.1429	SOL log2fc=0.190 adj_p=0.182
P48523	CAD4	MEM	0.4100	0.01356	SOL log2fc=-0.220 adj_p=0.0619
P48641	At3g24170	MEM	0.3500	0.08135	SOL log2fc=0.180 adj_p=0.341
P49077	PYRB	SOL	0.3400	0.08046	MEM log2fc=-0.110 adj_p=0.821
P49107	PSAN	MEM	-0.2800	0.2075	SOL log2fc=-0.150 adj_p=0.227
P49200	RPS20A	MEM	0.8900	0.01117	SOL log2fc=0.360 adj_p=0.147
P49205	RPS17A	MEM	-0.3200	0.02858	SOL log2fc=0.180 adj_p=0.117
P49209	RPL9B	MEM	-0.1100	0.3666	SOL log2fc=0.170 adj_p=0.689
P49227	RPL5B	MEM	0.1700	0.01798	SOL log2fc=-0.010 adj_p=0.499
P49243	At1g62640	MEM	0.3800	0.04261	SOL log2fc=0.140 adj_p=0.794
P49572	IGPS	SOL	-0.1600	0.05004	MEM log2fc=0.480 adj_p=0.0612
P49637	RPL27AC	SOL	-0.1600	0.04658	MEM log2fc=0.450 adj_p=0.328
P49688	RPS2C	MEM	1.7400	0.01658	SOL log2fc=-0.060 adj_p=0.843
P49690	RPL23A	MEM	0.6800	0.02579	SOL log2fc=0.520 adj_p=0.163
P49691	RPL4D	MEM	0.1200	0.3951	SOL log2fc=0.220 adj_p=0.686
P49692	RPL7AA	MEM	1.0800	0.007759	SOL log2fc=-0.140 adj_p=0.148
P49967	SRP-54C	SOL	-0.4200	0.05502	MEM log2fc=0.420 adj_p=0.0936
P50318	At1g56190	MEM	-0.2100	0.09276	SOL log2fc=-0.210 adj_p=0.135
P50546	rpoB	SOL	-0.3900	0.03263	MEM log2fc=-0.070 adj_p=0.738
P50700	OSM34	SOL	0.2600	0.5878	MEM log2fc=-0.010 adj_p=0.672
P50883	RPL12A	MEM	0.6300	0.01179	SOL log2fc=0.170 adj_p=0.57
P51412	RPL21	MEM	1.0100	0.02493	SOL log2fc=-0.310 adj_p=0.0374
P51413	RPL17B	MEM	-0.3300	0.1051	SOL log2fc=0.990 adj_p=0.139
P51414	RPL26A	MEM	-0.4300	0.05958	SOL log2fc=0.060 adj_p=0.428
P51419	RPL27C	MEM	0.8200	0.01779	SOL log2fc=-0.130 adj_p=0.259
P51430	RPS6B	MEM	-0.3500	0.02069	SOL log2fc=0.550 adj_p=0.189
P51818	HSP90-3	MEM	1.6200	0.00901	SOL log2fc=-0.220 adj_p=0.0638
P52032	GPX1	MEM	-0.5200	0.09425	SOL log2fc=-0.070 adj_p=0.222
P52420	PUR2	MEM	-0.2800	0.03696	SOL log2fc=0.070 adj_p=0.77
P52577	At1g75280	MEM	0.7000	0.0092	SOL log2fc=0.030 adj_p=0.68
P52839	SOT12	SOL	0.0600	0.2366	MEM log2fc=0.110 adj_p=0.584
P53492	ACT7	MEM	0.1800	0.08237	SOL log2fc=0.020 adj_p=0.9
P53496	ACT11	MEM	0.3500	0.05733	SOL log2fc=-0.130 adj_p=0.525
P54150	MSR4	MEM	0.3500	0.0534	SOL log2fc=0.260 adj_p=0.524
P54609	CDC48A	SOL	-0.1500	0.115	MEM log2fc=0.120 adj_p=0.134
P54873	HMGS	MEM	0.3300	0.01888	SOL log2fc=0.170 adj_p=0.86
P54888	P5CSB	SOL	-0.2500	0.1099	MEM log2fc=-0.150 adj_p=0.563
P55034	RPN10	MEM	0.3300	0.01697	SOL log2fc=0.310 adj_p=0.0586
P55217	CGS1	MEM	-0.1800	0.02433	SOL log2fc=-0.350 adj_p=0.15
P55228	APS1	MEM	0.0300	0.5414	SOL log2fc=0.010 adj_p=0.931
P55229	ADG2	SOL	-0.0700	0.09238	MEM log2fc=0.050 adj_p=0.668
P55737	HSP90-2	MEM	0.2000	0.009026	SOL log2fc=-0.200 adj_p=0.0234
P55826	PPOX1	SOL	-0.2900	0.01629	MEM log2fc=-0.400 adj_p=0.029
P56756	ndhK	MEM	-1.1500	0.01445	SOL log2fc=-0.480 adj_p=0.0454
P56757	atpA	MEM	0.2400	0.01385	SOL log2fc=-0.260 adj_p=0.0441
P56759	atpF	MEM	-0.8000	0.03263	SOL log2fc=-0.880 adj_p=0.109
P56761	psbD	MEM	0.4400	0.08995	SOL log2fc=-0.840 adj_p=0.166
P56762	rpoA	MEM	0.6500	0.004058	SOL log2fc=-0.250 adj_p=0.0937
P56764	rpoC2	MEM	0.2100	0.009761	SOL log2fc=-0.320 adj_p=0.0557
P56765	accD	SOL	-0.0900	0.7454	MEM log2fc=-0.010 adj_p=0.862
P56766	psaA	SOL	-1.2100	0.1157	MEM log2fc=-0.060 adj_p=0.709
P56767	psaB	MEM	-1.0700	0.02686	SOL log2fc=-1.140 adj_p=0.118
P56771	petA	MEM	-1.1800	0.02146	SOL log2fc=-0.450 adj_p=0.385
P56778	psbC	MEM	-0.6400	0.02957	SOL log2fc=-0.800 adj_p=0.183
P56791	rpl2-A	MEM	-0.5000	0.05546	SOL log2fc=-0.360 adj_p=0.121
P56792	rpl14	SOL	-0.1700	0.1516	MEM log2fc=-0.080 adj_p=0.235
P56793	rpl16	MEM	0.8200	0.01865	SOL log2fc=0.550 adj_p=0.329
P56795	rpl22	MEM	-0.4000	0.02101	SOL log2fc=0.210 adj_p=0.175
P56797	rps2	MEM	-0.1800	0.008444	SOL log2fc=0.220 adj_p=0.314
P56798	rps3	MEM	-0.5000	0.01345	SOL log2fc=-0.250 adj_p=0.18
P56799	rps4	MEM	-0.6100	0.01629	SOL log2fc=0.060 adj_p=0.394
P56801	rps8	SOL	0.2600	0.07716	MEM log2fc=-0.380 adj_p=0.115
P56802	rps11	MEM	-0.5400	0.04033	SOL log2fc=0.120 adj_p=0.928
P56805	rps15	SOL	0.3600	0.04731	MEM log2fc=0.210 adj_p=0.686
P56808	rps19	MEM	-0.4700	0.01263	SOL log2fc=0.090 adj_p=0.95
P56820	TIF3D1	MEM	0.4200	0.02116	SOL log2fc=-0.310 adj_p=0.0957
P57751	UGP1	MEM	-0.2400	0.1153	SOL log2fc=0.250 adj_p=0.252
P57752	ACBP6	MEM	0.3100	0.05603	SOL log2fc=0.800 adj_p=0.108
P59223	RPS13A	MEM	0.6600	0.01733	SOL log2fc=0.490 adj_p=0.114
P59224	RPS13B	SOL	0.5100	0.1932	MEM log2fc=0.100 adj_p=0.764
P59226	HTR2	SOL	0.0100	0.5655	MEM log2fc=0.100 adj_p=0.908
P59230	RPL10AB	MEM	1.4600	0.009761	SOL log2fc=-0.250 adj_p=0.974
P59259	At1g07660	MEM	0.5900	0.004782	SOL log2fc=-0.280 adj_p=0.889
P60039	RPL7C	MEM	0.3700	0.02198	SOL log2fc=0.370 adj_p=0.0503
P60040	RPL7B	MEM	0.4700	0.01489	SOL log2fc=0.260 adj_p=0.0513
P61843	ycf3	MEM	-0.5300	0.02258	SOL log2fc=-0.450 adj_p=0.0515
P62090	psaC	MEM	-1.0300	0.005861	SOL log2fc=0.230 adj_p=0.43
P82281	TL29	MEM	-0.4700	0.1841	SOL log2fc=-0.010 adj_p=0.902
P82538	PPL1	MEM	1.6000	0.0217	SOL log2fc=-0.050 adj_p=0.584
P82658	At3g63540	SOL	0.3200	0.247	MEM log2fc=-0.190 adj_p=0.993
P83291	CBR2	SOL	0.4400	0.08849	MEM log2fc=-0.450 adj_p=0.161
P92948	CDC5	SOL	-0.4000	0.02595	MEM log2fc=0.150 adj_p=0.114
P92959	RPL24	MEM	0.8300	0.0142	SOL log2fc=-0.020 adj_p=0.872
P92963	RABB1C	MEM	-0.1100	0.1413	SOL log2fc=-0.330 adj_p=0.495
P92974	UBA2	SOL	-0.2900	0.1515	MEM log2fc=0.240 adj_p=0.196
P92985	RANBP1C	MEM	1.4300	0.002017	SOL log2fc=-0.090 adj_p=0.491
P93004	PIP2-7	MEM	-0.2300	0.2141	SOL log2fc=-0.080 adj_p=0.958
P93014	rps5	MEM	-0.4000	0.06865	SOL log2fc=0.080 adj_p=0.872
P93025	PHOT2	MEM	-0.5900	0.03286	SOL log2fc=-0.660 adj_p=0.0654
P93026	VSR1	MEM	-0.3800	0.02079	SOL log2fc=0.130 adj_p=0.332
P93028	UBA1	MEM	0.7400	0.01223	SOL log2fc=-0.220 adj_p=0.104
P93031	MUR1	SOL	0.2900	0.2655	MEM log2fc=-0.090 adj_p=0.297
P93032	IDH2	MEM	-0.4700	0.02645	SOL log2fc=0.140 adj_p=0.172
P93033	FUM1	MEM	0.3500	0.006511	SOL log2fc=-0.140 adj_p=0.169
P93306	NAD7	MEM	0.3100	0.1117	SOL log2fc=-0.120 adj_p=0.723
P93654	SYP22	MEM	1.4800	0.007235	SOL log2fc=-0.140 adj_p=0.971
P93655	LON1	MEM	-0.6800	0.008298	SOL log2fc=-0.180 adj_p=0.192
P93736	TWN2	SOL	-0.1600	0.07716	MEM log2fc=-0.010 adj_p=0.382
P93819	MDH1	MEM	1.8600	0.01559	SOL log2fc=0.320 adj_p=0.0964
P93832	IMDH2	MEM	0.5700	0.1909	SOL log2fc=0.270 adj_p=0.398
P94040	GLP1	MEM	0.2600	0.4702	SOL log2fc=-0.220 adj_p=0.554
P94078	At3g26720	MEM	-0.0100	0.7752	SOL log2fc=-0.080 adj_p=0.949
P94111	SSL12	MEM	1.0200	0.007514	SOL log2fc=0.340 adj_p=0.0911
Q00218	DHS2	SOL	-0.4100	0.05806	MEM log2fc=-0.220 adj_p=0.668
Q00874	DRT100	MEM	-0.5000	0.0543	SOL log2fc=0.470 adj_p=0.182
Q01474	SAR1B	MEM	0.3300	0.1467	SOL log2fc=-0.290 adj_p=0.202
Q01525	GRF2	MEM	0.4000	0.004371	SOL log2fc=0.200 adj_p=0.1
Q01908	ATPC1	MEM	-0.7700	0.04108	SOL log2fc=-0.320 adj_p=0.095
Q02166	PAT1	MEM	-0.5300	0.007032	SOL log2fc=-0.300 adj_p=0.0406
Q02971	CAD7	MEM	-0.7900	0.01946	SOL log2fc=-0.890 adj_p=0.0738
Q03250	RBG7	SOL	0.0300	0.4975	MEM log2fc=0.070 adj_p=0.537
Q03251	RBG8	SOL	0.2100	0.4498	MEM log2fc=0.020 adj_p=0.596
Q04836	CP31A	SOL	0.0600	0.4825	MEM log2fc=-0.160 adj_p=0.576
Q05212	DRT102	MEM	0.4200	0.0265	SOL log2fc=0.040 adj_p=0.602
Q05431	APX1	MEM	1.2300	0.003642	SOL log2fc=0.160 adj_p=0.161
Q05728	PUR5	SOL	0.0500	0.6781	MEM log2fc=-0.190 adj_p=0.714
Q05758	At3g58610	MEM	0.5900	0.1415	SOL log2fc=0.130 adj_p=0.578
Q06327	LOX1	MEM	-0.2600	0.03308	SOL log2fc=-0.240 adj_p=0.633
Q06588	ACO4	MEM	0.5300	0.03208	SOL log2fc=-0.140 adj_p=0.878
Q06738	RD29A	SOL	0.7000	0.0234	MEM log2fc=0.030 adj_p=0.645
Q07099	PP2A1	MEM	0.5100	0.009761	SOL log2fc=-0.450 adj_p=0.0874
Q07356	PDS	MEM	-0.2300	0.08623	SOL log2fc=-0.250 adj_p=0.124
Q08112	RPS15A	MEM	-0.3500	0.064	SOL log2fc=0.530 adj_p=0.0861
Q08298	RD22	MEM	1.9700	0.009357	SOL log2fc=1.630 adj_p=0.0433
Q08733	PIP1-3	MEM	1.9100	0.03038	SOL log2fc=-0.320 adj_p=0.178
Q09152	FPS1	MEM	0.4500	0.06071	SOL log2fc=-0.510 adj_p=0.0755
Q0WL80	UGGT	MEM	-0.3100	0.03271	SOL log2fc=-0.140 adj_p=0.105
Q0WLB5	CHC2	MEM	-0.4100	0.01325	SOL log2fc=-1.840 adj_p=0.128
Q0WLC7	CBSCBSPB4	SOL	-0.5000	0.06782	MEM log2fc=-0.330 adj_p=0.116
Q0WNJ6	CHC1	MEM	0.2700	0.1102	SOL log2fc=-1.740 adj_p=0.128
Q0WP12	HOL1	MEM	1.3400	0.01961	SOL log2fc=0.260 adj_p=0.0621
Q0WR25	ECT5	MEM	1.0100	0.01263	SOL log2fc=-0.200 adj_p=0.156
Q0WSE9	At5g15610	SOL	-0.5200	0.02245	MEM log2fc=0.140 adj_p=0.409
Q0WUQ7	At4g29490	MEM	0.3600	0.02043	SOL log2fc=-0.160 adj_p=0.284
Q0WV90	TPR1	SOL	-0.8400	0.07305	MEM log2fc=0.010 adj_p=0.728
Q0WVX5	SS4	SOL	-0.2800	0.07224	MEM log2fc=0.170 adj_p=0.156
Q0WW26	At4g34450	MEM	-0.3100	0.02943	SOL log2fc=-0.320 adj_p=0.0819
Q0WW84	RBP47B	SOL	-0.7000	0.06575	MEM log2fc=-0.210 adj_p=0.073
Q1H537	DVR	MEM	-0.5200	0.01361	SOL log2fc=-0.380 adj_p=0.157
Q1H583	GLL22	MEM	1.0700	0.00432	SOL log2fc=0.280 adj_p=0.27
Q1JPL7	PME18	MEM	-0.4600	0.2541	SOL log2fc=0.150 adj_p=0.668
Q1WIQ6	ALDH11A3	SOL	-0.2100	0.04047	MEM log2fc=0.150 adj_p=0.186
Q29Q26	AKR2B	MEM	1.1300	0.007671	SOL log2fc=0.080 adj_p=0.479
Q29Q34	At5g19440	MEM	0.3400	0.06414	SOL log2fc=0.090 adj_p=0.578
Q2HIK4	PFD6	MEM	-0.1300	0.1392	SOL log2fc=0.490 adj_p=0.166
Q2PGG3	SR	SOL	0.2500	0.04135	MEM log2fc=-0.330 adj_p=0.0835
Q2V2S7	ndhM	MEM	0.0000	0.6057	SOL log2fc=-0.230 adj_p=0.872
Q2V3Q0	PAD1	SOL	0.2200	0.1318	MEM log2fc=0.100 adj_p=0.401
Q38799	PDH2	MEM	0.5100	0.03242	SOL log2fc=0.090 adj_p=0.401
Q38814	THI1	MEM	0.6900	0.05713	SOL log2fc=-0.090 adj_p=0.715
Q38845	PP2AA1	SOL	-0.2300	0.1046	MEM log2fc=0.170 adj_p=0.283
Q38857	XTH22	MEM	0.0300	0.4643	SOL log2fc=0.120 adj_p=0.614
Q38858	CRT2	MEM	-0.6700	0.01485	SOL log2fc=-0.060 adj_p=0.463
Q38867	CYP19-3	MEM	0.3300	0.2206	SOL log2fc=-0.050 adj_p=0.393
Q38868	CPK9	MEM	0.3200	0.1237	SOL log2fc=-0.180 adj_p=0.295
Q38869	CPK4	MEM	-0.5300	0.06254	SOL log2fc=-0.110 adj_p=0.687
Q38882	PLDALPHA1	SOL	-0.4100	0.2524	MEM log2fc=0.030 adj_p=0.45
Q38884	TIF3I1	MEM	0.2600	0.1631	SOL log2fc=0.140 adj_p=0.208
Q38893	ZDS1	SOL	-0.2300	0.09322	MEM log2fc=0.090 adj_p=0.585
Q38896	CSP4	MEM	0.2500	0.3627	SOL log2fc=0.120 adj_p=0.859
Q38900	CYP19-1	MEM	0.8900	0.04522	SOL log2fc=-0.290 adj_p=0.18
Q38922	RABB1B	MEM	-0.1700	0.274	SOL log2fc=0.050 adj_p=0.483
Q38929	IPP1	SOL	0.1100	0.1942	MEM log2fc=-0.050 adj_p=0.798
Q38931	FKBP62	SOL	0.2300	0.3499	MEM log2fc=-0.150 adj_p=0.351
Q38935	FKBP15-1	MEM	-0.2800	0.0958	SOL log2fc=0.100 adj_p=0.307
Q38936	FKBP15-2	SOL	0.3500	0.1224	MEM log2fc=-0.400 adj_p=0.13
Q38946	GDH2	SOL	0.2000	0.1049	MEM log2fc=-0.150 adj_p=0.645
Q38950	PP2AA2	SOL	-0.4900	0.06376	MEM log2fc=0.160 adj_p=0.63
Q38951	PP2AA3	MEM	0.5200	0.05051	SOL log2fc=-0.440 adj_p=0.0683
Q38970	ACC1	SOL	-0.2100	0.05818	MEM log2fc=-0.050 adj_p=0.582
Q39024	MPK4	SOL	-0.3500	0.1969	MEM log2fc=-0.030 adj_p=0.754
Q39026	MPK6	MEM	1.2700	0.01203	SOL log2fc=-0.180 adj_p=0.111
Q39033	PLC2	MEM	-0.1900	0.01918	SOL log2fc=-0.460 adj_p=0.242
Q39041	BFRUCT4	SOL	0.3800	0.2571	MEM log2fc=-0.050 adj_p=0.978
Q39048	CER2	MEM	0.6800	0.0285	SOL log2fc=0.060 adj_p=0.47
Q39054	CNX1	MEM	0.4700	0.01238	SOL log2fc=-0.210 adj_p=0.0591
Q39061	CP33	MEM	1.0400	0.07214	SOL log2fc=0.020 adj_p=0.872
Q39097	ERF1-1	MEM	0.3000	0.0265	SOL log2fc=-0.310 adj_p=0.0422
Q39099	XTH4	SOL	0.4200	0.08625	MEM log2fc=0.520 adj_p=0.142
Q39100	extA	MEM	2.7100	0.004947	SOL log2fc=2.680 adj_p=0.0311
Q39131	At5g15350	SOL	0.4400	0.04406	MEM log2fc=0.300 adj_p=0.0794
Q39141	Lhb1B2	MEM	3.0400	0.009761	SOL log2fc=-1.080 adj_p=0.162
Q39161	NIR1	SOL	0.1400	0.1209	MEM log2fc=0.110 adj_p=0.305
Q39172	AER	MEM	0.7000	0.01615	SOL log2fc=0.500 adj_p=0.129
Q39173	P2	SOL	-0.2000	0.05073	MEM log2fc=-0.110 adj_p=0.138
Q39189	RH7	MEM	-0.7900	0.003698	SOL log2fc=-0.240 adj_p=0.0912
Q39196	PIP1.4	MEM	0.7900	0.007851	SOL log2fc=-1.230 adj_p=0.12
Q39211	NRPB3	MEM	-0.7200	0.01387	SOL log2fc=-0.230 adj_p=0.0373
Q39230	At5g27470	MEM	0.6800	0.04211	SOL log2fc=0.060 adj_p=0.886
Q39241	TRX5	MEM	0.6500	0.01233	SOL log2fc=1.230 adj_p=0.0169
Q39243	NTR1	SOL	0.4100	0.6059	MEM log2fc=-0.170 adj_p=0.647
Q39249	VDE1	MEM	-0.5400	0.01485	SOL log2fc=-0.610 adj_p=0.0454
Q39255	SKP1A	MEM	0.6000	0.004898	SOL log2fc=-0.130 adj_p=0.0668
Q39258	VHA-E1	MEM	0.5900	0.004122	SOL log2fc=0.250 adj_p=0.0885
Q41188	CSP2	MEM	-0.7900	0.03101	SOL log2fc=0.070 adj_p=0.513
Q41916	CYS5	MEM	1.4100	0.003642	SOL log2fc=0.940 adj_p=0.0678
Q41931	ACO2	MEM	0.3600	0.0471	SOL log2fc=0.330 adj_p=0.0782
Q41932	PSBQ2	SOL	-0.3200	0.1554	MEM log2fc=-0.500 adj_p=0.45
Q41969	EIF2B	MEM	0.2000	0.113	SOL log2fc=-0.260 adj_p=0.155
Q42029	PSBP1	SOL	-0.0600	0.4497	MEM log2fc=-0.180 adj_p=0.895
Q42064	RPL8C	MEM	-0.1400	0.143	SOL log2fc=-0.260 adj_p=0.358
Q42139	PDE334	SOL	-0.7800	0.08982	MEM log2fc=-0.060 adj_p=0.863
Q42262	RPS3AB	MEM	-0.2900	0.02731	SOL log2fc=0.270 adj_p=0.419
Q42290	MPPbeta	MEM	0.1900	0.1179	SOL log2fc=0.060 adj_p=0.996
Q42340	RPS16C	MEM	-0.2600	0.0567	SOL log2fc=0.180 adj_p=0.173
Q42342	CYTB5-E	MEM	0.4200	0.02502	SOL log2fc=0.860 adj_p=0.0892
Q42344	HMGB4	SOL	0.1900	0.1679	MEM log2fc=-0.010 adj_p=0.97
Q42347	RPL24A	MEM	-0.1600	0.1405	SOL log2fc=0.070 adj_p=0.707
