TAIR	log2FC_FLT_vs_GC	pvalue	padj	mean_FLT	mean_GC	n_FLT	n_GC
AT4G31700	-0.335557	0.005591	0.703002	9.719737	10.055294	5	5
AT2G26680	-0.398213	0.005626	0.703002	4.992227	5.390440	5	5
AT5G23720	-0.356618	0.005633	0.703002	5.534332	5.890950	5	5
AT3G47540	0.911537	0.005652	0.703002	5.682912	4.771375	5	5
AT4G33980	0.688973	0.005652	0.703002	4.359660	3.670687	5	5
AT1G05470	-0.534857	0.005676	0.703002	3.893934	4.428792	5	5
AT4G38630	-0.524395	0.005728	0.703002	7.854612	8.379007	5	5
AT3G32960	0.239980	0.005729	0.703002	2.097853	1.857873	5	5
AT5G61000	-0.334322	0.005761	0.703002	5.814141	6.148463	5	5
AT5G14500	-0.417560	0.005853	0.703002	5.786456	6.204016	5	5
AT3G01180	-0.389501	0.005898	0.703002	5.400307	5.789808	5	5
AT3G51160	-0.272568	0.005910	0.703002	7.241857	7.514425	5	5
AT1G56650	-1.337810	0.005914	0.703002	3.874072	5.211882	5	5
AT3G04410	0.197660	0.005944	0.703002	1.954767	1.757106	5	5
AT1G16950	0.223890	0.005956	0.703002	2.168362	1.944472	5	5
AT5G15910	-0.371793	0.005971	0.703002	6.954218	7.326011	5	5
AT5G64700	0.197084	0.005979	0.703002	2.556098	2.359014	5	5
AT4G24820	-0.467111	0.006059	0.708592	8.191141	8.658251	5	5
AT2G15780	-1.317290	0.006142	0.710524	6.439680	7.756970	5	5
AT3G11350	-0.231180	0.006162	0.710524	2.195848	2.427028	5	5
AT5G53830	0.431292	0.006284	0.710524	8.380111	7.948819	5	5
AT2G47760	0.202825	0.006334	0.710524	6.828441	6.625616	5	5
AT5G22570	1.057466	0.006339	0.710524	5.144101	4.086636	5	5
AT2G27310	0.978741	0.006393	0.710524	3.656728	2.677987	5	5
AT2G37380	0.470380	0.006402	0.710524	2.609979	2.139599	5	5
AT2G34690	0.159865	0.006411	0.710524	8.740753	8.580887	5	5
AT5G54060	-1.787270	0.006421	0.710524	5.309976	7.097245	5	5
AT3G60990	0.262958	0.006436	0.710524	2.187662	1.924704	5	5
AT5G26780	-0.500508	0.006461	0.710524	6.472318	6.972826	5	5
AT1G62820	-0.210771	0.006494	0.710524	6.694274	6.905045	5	5
AT3G04790	-0.297150	0.006505	0.710524	7.670486	7.967636	5	5
AT4G36530	-0.440316	0.006557	0.712457	6.501182	6.941498	5	5
AT3G56430	-0.335664	0.006645	0.712457	3.431531	3.767195	5	5
AT2G15880	0.842922	0.006684	0.712457	3.787885	2.944963	5	5
AT3G54950	-0.320337	0.006782	0.712457	5.508417	5.828755	5	5
AT5G57510	0.385226	0.006861	0.712457	3.144025	2.758799	5	5
AT5G38690	-0.392195	0.006986	0.712457	4.693116	5.085311	5	5
AT4G20820	0.332859	0.007017	0.712457	2.104285	1.771425	5	5
AT3G46690	-0.218116	0.007085	0.712457	1.877596	2.095712	5	5
AT1G51500	0.599765	0.007097	0.712457	4.604488	4.004723	5	5
AT3G58660	-0.457838	0.007114	0.712457	4.446390	4.904228	5	5
AT5G04560	-0.280580	0.007144	0.712457	2.613302	2.893881	5	5
AT5G06860	-0.334822	0.007177	0.712457	5.249598	5.584420	5	5
AT1G50930	0.193966	0.007181	0.712457	1.966599	1.772633	5	5
AT4G35450	-0.250874	0.007203	0.712457	7.957401	8.208274	5	5
AT2G02061	0.320116	0.007362	0.712457	2.235696	1.915580	5	5
AT5G39900	-0.291790	0.007405	0.712457	2.628709	2.920499	5	5
AT2G31410	-0.293568	0.007406	0.712457	6.593144	6.886712	5	5
AT5G67030	-0.276525	0.007418	0.712457	6.336273	6.612798	5	5
AT4G00800	0.240364	0.007469	0.712457	2.876196	2.635831	5	5
AT5G12170	0.261937	0.007478	0.712457	6.498251	6.236313	5	5
AT4G39370	-0.442058	0.007545	0.712457	3.280773	3.722831	5	5
AT5G20090	0.191087	0.007571	0.712457	8.858568	8.667482	5	5
AT2G46600	0.561388	0.007582	0.712457	9.883607	9.322219	5	5
AT2G24740	0.188734	0.007617	0.712457	2.638733	2.449999	5	5
AT3G23330	0.332928	0.007627	0.712457	3.308673	2.975745	5	5
AT3G23340	-0.276538	0.007636	0.712457	7.353840	7.630379	5	5
AT4G25680	-0.248953	0.007694	0.712457	6.283367	6.532320	5	5
AT5G16440	-0.285032	0.007700	0.712457	5.587422	5.872454	5	5
AT2G28970	0.199349	0.007753	0.712457	1.925730	1.726381	5	5
AT1G64820	0.215904	0.007762	0.712457	1.922985	1.707081	5	5
AT2G34940	0.293179	0.007838	0.712457	3.180912	2.887732	5	5
AT3G52560	-0.148133	0.007948	0.712457	9.315214	9.463347	5	5
AT5G66410	-0.285081	0.007994	0.712457	7.670134	7.955215	5	5
AT2G37130	-1.251154	0.008051	0.712457	5.686262	6.937416	5	5
AT4G16430	-0.272227	0.008110	0.712457	5.700307	5.972534	5	5
AT2G26230	-0.218694	0.008168	0.712457	6.860175	7.078869	5	5
AT3G02910	-0.827622	0.008185	0.712457	5.293194	6.120815	5	5
AT4G02350	-0.131103	0.008216	0.712457	5.979087	6.110190	5	5
AT3G03600	-0.207444	0.008273	0.712457	6.868660	7.076104	5	5
AT1G16820	0.250282	0.008275	0.712457	2.967301	2.717019	5	5
AT3G42850	-0.165089	0.008330	0.712457	2.891210	3.056299	5	5
AT5G05410	2.425934	0.008359	0.712457	6.648665	4.222731	5	5
AT4G24300	-0.293245	0.008433	0.712457	1.888069	2.181314	5	5
AT5G63380	-0.327770	0.008536	0.712457	4.724820	5.052590	5	5
AT5G51040	-0.263086	0.008560	0.712457	7.781505	8.044592	5	5
AT1G49660	-0.436838	0.008600	0.712457	7.700632	8.137470	5	5
AT2G20880	0.297871	0.008600	0.712457	2.461902	2.164031	5	5
AT3G44180	-0.154424	0.008616	0.712457	2.035977	2.190401	5	5
AT4G34740	-0.361397	0.008675	0.712457	4.649255	5.010652	5	5
AT5G54490	1.628178	0.008743	0.712457	8.010455	6.382277	5	5
AT3G16230	-0.269418	0.008796	0.712457	6.243895	6.513314	5	5
AT3G01800	-0.350207	0.008832	0.712457	5.040731	5.390938	5	5
AT4G17530	-0.155115	0.008850	0.712457	8.267760	8.422875	5	5
AT5G04340	1.746481	0.008902	0.712457	5.480938	3.734456	5	5
AT1G03760	0.406064	0.008973	0.712457	4.749305	4.343241	5	5
AT3G18560	-0.579486	0.009023	0.712457	3.611529	4.191015	5	5
ATMG00320	0.176379	0.009024	0.712457	2.126073	1.949694	5	5
AT1G63420	-0.238964	0.009029	0.712457	6.915653	7.154618	5	5
AT1G72900	0.957763	0.009055	0.712457	6.421313	5.463550	5	5
AT4G38930	-0.160531	0.009058	0.712457	6.857472	7.018003	5	5
AT2G19780	-0.599105	0.009063	0.712457	4.522539	5.121644	5	5
AT3G27430	-0.283816	0.009125	0.712457	8.211351	8.495167	5	5
AT3G47750	0.153559	0.009126	0.712457	1.845851	1.692292	5	5
AT1G17630	-0.219246	0.009168	0.712457	2.471918	2.691164	5	5
AT5G27350	0.687955	0.009247	0.712457	5.609220	4.921265	5	5
AT1G30135	2.916935	0.009248	0.712457	6.896001	3.979066	5	5
AT2G24540	-0.552478	0.009280	0.712457	5.819080	6.371558	5	5
AT5G53590	0.638733	0.009343	0.712457	7.505093	6.866360	5	5
AT2G30550	0.372476	0.009351	0.712457	6.116092	5.743616	5	5
AT1G08580	-0.310442	0.009388	0.712457	7.118322	7.428763	5	5
AT5G04280	-0.375198	0.009421	0.712457	6.673788	7.048986	5	5
AT1G01480	-0.251596	0.009423	0.712457	2.482259	2.733855	5	5
AT3G27380	-0.301132	0.009486	0.712457	8.487432	8.788564	5	5
AT4G09600	-0.097143	0.009584	0.712457	1.746772	1.843915	5	5
AT3G07480	-0.185037	0.009606	0.712457	9.929884	10.114922	5	5
AT4G22270	-0.420881	0.009613	0.712457	5.414529	5.835410	5	5
AT3G26744	0.296535	0.009629	0.712457	5.908231	5.611697	5	5
AT5G61500	-0.278701	0.009632	0.712457	5.873370	6.152071	5	5
AT1G05575	1.532005	0.009681	0.712457	5.396627	3.864621	5	5
AT1G10670	0.189173	0.009687	0.712457	9.737646	9.548473	5	5
AT1G09350	-1.321708	0.009694	0.712457	3.228925	4.550633	5	5
AT2G01790	-0.131745	0.009706	0.712457	1.853161	1.984906	5	5
AT1G80480	-0.308603	0.009734	0.712457	5.713561	6.022164	5	5
AT1G80700	0.285474	0.009742	0.712457	7.150574	6.865100	5	5
AT4G01220	-0.460691	0.009746	0.712457	4.461494	4.922185	5	5
AT4G00480	0.278385	0.009764	0.712457	3.744027	3.465642	5	5
AT5G58020	-0.182467	0.009785	0.712457	7.172410	7.354877	5	5
AT1G02360	-0.614797	0.009826	0.712457	3.520569	4.135366	5	5
AT5G03860	0.485476	0.009834	0.712457	2.766481	2.281005	5	5
AT4G27820	0.232047	0.009843	0.712457	2.916152	2.684105	5	5
AT3G58600	0.282577	0.009849	0.712457	6.836525	6.553948	5	5
AT1G68060	-0.256315	0.009892	0.712457	5.731815	5.988130	5	5
AT1G55110	0.354353	0.009896	0.712457	5.153080	4.798727	5	5
AT5G46740	-0.356880	0.009930	0.712457	4.934485	5.291364	5	5
AT1G61130	0.246109	0.009940	0.712457	2.569153	2.323045	5	5
AT1G66070	-0.375586	0.009959	0.712457	6.437441	6.813027	5	5
AT1G33540	0.145816	0.010000	0.712457	2.003257	1.857441	5	5
AT5G22530	0.657105	0.010024	0.712457	5.452565	4.795460	5	5
AT4G34990	1.259674	0.010070	0.712457	6.256890	4.997216	5	5
AT5G59220	0.337414	0.010110	0.712457	2.613969	2.276554	5	5
AT5G10830	-0.458701	0.010136	0.712457	6.672644	7.131345	5	5
AT5G35680	-0.279370	0.010186	0.712457	9.333920	9.613291	5	5
AT4G39270	0.265875	0.010327	0.712457	3.842444	3.576569	5	5
AT3G55130	0.507074	0.010385	0.712457	4.265725	3.758650	5	5
AT5G02270	-0.712680	0.010423	0.712457	5.973814	6.686494	5	5
AT5G50100	-0.346893	0.010539	0.712457	4.903561	5.250454	5	5
AT2G25490	0.343523	0.010540	0.712457	7.637513	7.293991	5	5
AT5G41770	0.152751	0.010576	0.712457	5.187527	5.034776	5	5
AT5G02040	-0.282363	0.010600	0.712457	5.367617	5.649980	5	5
AT2G44300	-0.398105	0.010622	0.712457	7.256078	7.654183	5	5
AT3G60660	-0.383504	0.010631	0.712457	3.330963	3.714467	5	5
AT3G22060	-0.855216	0.010656	0.712457	3.240998	4.096214	5	5
AT5G58230	-0.218841	0.010685	0.712457	6.623442	6.842284	5	5
AT5G10490	-0.293932	0.010697	0.712457	4.719097	5.013030	5	5
AT5G62440	-0.343123	0.010699	0.712457	5.989180	6.332303	5	5
AT4G29590	-0.331616	0.010707	0.712457	4.073046	4.404662	5	5
AT5G35620	-0.207012	0.010708	0.712457	7.037223	7.244235	5	5
AT4G32040	-0.433969	0.010750	0.712457	4.646864	5.080833	5	5
AT5G18100	0.305263	0.010755	0.712457	7.636119	7.330856	5	5
AT3G51260	-0.424636	0.010777	0.712457	7.272692	7.697328	5	5
AT2G31890	0.235484	0.010805	0.712457	5.477685	5.242201	5	5
AT3G59470	-0.339200	0.010816	0.712457	4.329913	4.669113	5	5
AT5G18470	-0.686613	0.010919	0.712457	7.928310	8.614923	5	5
AT4G28630	-0.205019	0.010997	0.712457	2.067109	2.272128	5	5
AT3G50260	0.627483	0.011081	0.712457	4.951639	4.324156	5	5
AT3G12610	-0.383520	0.011101	0.712457	8.709332	9.092852	5	5
AT4G01070	-0.291405	0.011119	0.712457	7.079740	7.371145	5	5
AT2G43950	-0.249408	0.011130	0.712457	5.623868	5.873276	5	5
AT1G29950	-0.368755	0.011197	0.712457	6.485478	6.854233	5	5
AT3G62120	-0.341740	0.011208	0.712457	7.666850	8.008590	5	5
AT5G46340	0.454143	0.011211	0.712457	6.037174	5.583031	5	5
AT1G72800	0.498652	0.011241	0.712457	5.370455	4.871803	5	5
AT1G26600	0.311189	0.011268	0.712457	2.453629	2.142441	5	5
AT5G24800	0.554693	0.011282	0.712457	7.497605	6.942911	5	5
AT2G39260	-0.235316	0.011342	0.712457	5.215393	5.450710	5	5
AT2G41000	-0.401326	0.011430	0.712457	4.275177	4.676504	5	5
AT4G01900	-0.269754	0.011442	0.712457	6.745212	7.014967	5	5
AT5G50930	-0.319205	0.011442	0.712457	4.852489	5.171694	5	5
AT1G34180	0.437206	0.011509	0.712457	4.834397	4.397191	5	5
AT3G25520	-0.221180	0.011569	0.712457	9.514334	9.735514	5	5
AT5G24650	-0.231870	0.011577	0.712457	6.463161	6.695031	5	5
AT2G27020	-0.386244	0.011616	0.712457	8.138328	8.524572	5	5
AT5G01840	-1.005092	0.011651	0.712457	4.264170	5.269263	5	5
AT4G30020	-0.271181	0.011677	0.712457	9.329405	9.600586	5	5
AT5G18620	-0.217706	0.011680	0.712457	6.810911	7.028617	5	5
AT3G60560	-0.156918	0.011723	0.712457	1.639486	1.796404	5	5
AT3G11910	-0.263768	0.011748	0.712457	7.742652	8.006420	5	5
AT1G13250	-0.600609	0.011758	0.712457	6.454486	7.055095	5	5
AT1G13210	0.361483	0.011776	0.712457	3.833711	3.472229	5	5
AT1G18660	-0.264341	0.011820	0.712457	6.176252	6.440592	5	5
AT4G25420	0.329221	0.011826	0.712457	2.418908	2.089687	5	5
AT1G72890	0.901548	0.011830	0.712457	4.850978	3.949430	5	5
AT1G33830	-0.164656	0.011857	0.712457	1.726311	1.890967	5	5
AT1G47710	-0.196537	0.011863	0.712457	8.114170	8.310707	5	5
AT5G04370	0.632611	0.011901	0.712457	4.947245	4.314635	5	5
AT4G11260	-0.248357	0.011956	0.712457	6.726051	6.974408	5	5
AT2G03430	-0.206132	0.011985	0.712457	6.675650	6.881782	5	5
AT5G10390	-0.396550	0.012012	0.712457	7.882143	8.278694	5	5
AT2G30050	-0.280434	0.012095	0.712457	6.908875	7.189309	5	5
AT5G43760	0.475857	0.012100	0.712457	3.942552	3.466695	5	5
AT3G19510	-0.328279	0.012128	0.712457	4.052453	4.380732	5	5
AT3G23790	0.185016	0.012129	0.712457	4.297847	4.112832	5	5
AT2G47950	1.322418	0.012148	0.712457	6.752356	5.429938	5	5
AT5G50310	-0.322782	0.012219	0.712457	5.139706	5.462488	5	5
AT1G04610	0.277345	0.012287	0.712457	2.341903	2.064558	5	5
AT3G28950	-0.406539	0.012288	0.712457	6.145967	6.552506	5	5
AT2G34320	-0.158998	0.012292	0.712457	1.934256	2.093254	5	5
AT1G20950	-0.409245	0.012312	0.712457	8.831540	9.240785	5	5
AT5G58760	-0.342627	0.012330	0.712457	2.379139	2.721766	5	5
AT4G02440	0.306027	0.012388	0.712457	6.157566	5.851539	5	5
