uniprot	log2fc	pvalue	adj_p	gene_name	fraction	description	significant
Q8VY92	-1.35	0.015196739	0.038075841	At1g69460	MEM	Transmembrane emp24 domain-containing protein p24delta10 OS=Arabidopsis thaliana OX=3702 GN=At1g69460 PE=1 SV=1	True
Q8VYA5	-0.96	0.000487668	0.007282537	RS2Z33	MEM	Serine/arginine-rich splicing factor RS2Z33 OS=Arabidopsis thaliana OX=3702 GN=RS2Z33 PE=1 SV=1	True
Q8VYB7	-0.19	0.093166811	0.138483554	RGTA1	MEM	Geranylgeranyl transferase type-2 subunit alpha 1 OS=Arabidopsis thaliana OX=3702 GN=RGTA1 PE=1 SV=1	False
Q8VYC9	0.35	0.127098861	0.178688307	At1g16210	MEM	Coiled-coil protein OS=Arabidopsis thaliana OX=3702 GN=At1g16210 PE=1 SV=1	False
Q8VYE2	-0.08	0.367712226	0.430479934	TIM50	MEM	Mitochondrial import inner membrane translocase subunit TIM50 OS=Arabidopsis thaliana OX=3702 GN=TIM50 PE=1 SV=1	False
Q8VYF1	0.69	0.041939123	0.075428735	RPL15B	MEM	60S ribosomal protein L15-2 OS=Arabidopsis thaliana OX=3702 GN=RPL15B PE=2 SV=1	False
Q8VYF2	0.29	0.002395325	0.013903657	At4g15790	MEM	Uncharacterized protein At4g15790 OS=Arabidopsis thaliana OX=3702 GN=At4g15790 PE=1 SV=1	True
Q8VYG2	-0.36	0.160997894	0.264100519	GALAK	SOL	Galacturonokinase OS=Arabidopsis thaliana OX=3702 GN=GALAK PE=1 SV=1	False
Q8VYG9	1.37	0.000224848	0.005170089	PIRL9	MEM	Plant intracellular Ras-group-related LRR protein 9 OS=Arabidopsis thaliana OX=3702 GN=PIRL9 PE=2 SV=1	True
Q8VYI0	0.51	0.011361511	0.065749293	LSM8	SOL	Sm-like protein LSM8 OS=Arabidopsis thaliana OX=3702 GN=LSM8 PE=1 SV=1	False
Q8VYI3	-0.11	0.271935852	0.38098705	ECH2	SOL	Enoyl-CoA hydratase 2, peroxisomal OS=Arabidopsis thaliana OX=3702 GN=ECH2 PE=1 SV=1	False
Q8VYI4	0.36	0.019393259	0.08385338	At1g14810	SOL	Aspartate-semialdehyde dehydrogenase OS=Arabidopsis thaliana OX=3702 GN=At1g14810 PE=1 SV=1	False
Q8VYI9	1.16	0.002759945	0.039669541	LTPG31	SOL	Non-specific lipid transfer protein GPI-anchored 31 OS=Arabidopsis thaliana OX=3702 GN=LTPG31 PE=2 SV=1	True
Q8VYJ4	-0.48	0.008188487	0.056610687	At3g25150	SOL	AT3g25150/MJL12_9 OS=Arabidopsis thaliana OX=3702 GN=At3g25150 PE=1 SV=1	False
Q8VYJ6	-0.01	0.780423436	0.815342888	SWAP70	MEM	At2g30880/F7F1.9 OS=Arabidopsis thaliana OX=3702 GN=SWAP70 PE=1 SV=1	False
Q8VYJ7	0.08	0.281354296	0.344573731	CLPB4	MEM	Chaperone protein ClpB4, mitochondrial OS=Arabidopsis thaliana OX=3702 GN=CLPB4 PE=2 SV=1	False
Q8VYK6	-0.36	0.001013553	0.00971972	RPS4D	MEM	40S ribosomal protein S4-3 OS=Arabidopsis thaliana OX=3702 GN=RPS4D PE=2 SV=2	True
Q8VYK7	-0.02	0.501041294	0.594400544	ATG8F	SOL	Autophagy-related protein 8f OS=Arabidopsis thaliana OX=3702 GN=ATG8F PE=1 SV=1	False
Q8VYL1	-0.6	0.074528093	0.166211961	At5g35170	SOL	Adenylate kinase 5, chloroplastic OS=Arabidopsis thaliana OX=3702 GN=At5g35170 PE=1 SV=1	False
Q8VYM4	0.32	0.288882896	0.352169586	PSRP2	MEM	30S ribosomal protein 2, chloroplastic OS=Arabidopsis thaliana OX=3702 GN=PSRP2 PE=2 SV=1	False
Q8VYN2	-0.34	0.040967476	0.074140362	PVA42	MEM	Vesicle-associated protein 4-2 OS=Arabidopsis thaliana OX=3702 GN=PVA42 PE=1 SV=1	False
Q8VYN6	-0.26	0.078353191	0.170848927	PFK5	SOL	ATP-dependent 6-phosphofructokinase 5, chloroplastic OS=Arabidopsis thaliana OX=3702 GN=PFK5 PE=1 SV=1	False
Q8VYP0	-0.87	0.000444114	0.006971546	HCC1	MEM	Protein SCO1 homolog 1, mitochondrial OS=Arabidopsis thaliana OX=3702 GN=HCC1 PE=1 SV=1	True
Q8VYR5	0.06	0.184438723	0.242602839	At4g35850	MEM	Pentatricopeptide repeat-containing protein At4g35850, mitochondrial OS=Arabidopsis thaliana OX=3702 GN=At4g35850 PE=1 SV=1	False
Q8VYT2	-0.08	0.403470432	0.466291596	At4g25940	MEM	Putative clathrin assembly protein At4g25940 OS=Arabidopsis thaliana OX=3702 GN=At4g25940 PE=2 SV=1	False
Q8VYV0	-0.57	0.000511264	0.023597535	At1g43690	SOL	At1g43690/F2J6_4 OS=Arabidopsis thaliana OX=3702 GN=At1g43690 PE=1 SV=1	True
Q8VYV7	0.21	0.070112434	0.111111148	DHQS	MEM	3-dehydroquinate synthase, chloroplastic OS=Arabidopsis thaliana OX=3702 GN=DHQS PE=1 SV=1	False
Q8VYW6	-0.43	0.056972331	0.14266813	GGT1	SOL	Glutathione hydrolase 1 OS=Arabidopsis thaliana OX=3702 GN=GGT1 PE=2 SV=1	False
Q8VYY8	-0.03	0.9221562	0.935341362	At2g43630	MEM	Nucleusenvelope protein OS=Arabidopsis thaliana OX=3702 GN=At2g43630 PE=1 SV=1	False
Q8VYZ8	-0.05	0.838110607	0.865973078	At1g64430	MEM	Pentatricopeptide repeat (PPR) superfamily protein OS=Arabidopsis thaliana OX=3702 GN=At1g64430 PE=1 SV=1	False
Q8VZ10	-0.67	0.005886284	0.022742683	SOQ1	MEM	Protein SUPPRESSOR OF QUENCHING 1, chloroplastic OS=Arabidopsis thaliana OX=3702 GN=SOQ1 PE=1 SV=1	True
Q8VZ18	-0.34	0.006986759	0.025166236	At3g44150	MEM	Expp1 protein OS=Arabidopsis thaliana OX=3702 GN=At3g44150 PE=1 SV=1	True
Q8VZ19	-0.19	0.046866072	0.12953718	RPL30B	SOL	60S ribosomal protein L30-2 OS=Arabidopsis thaliana OX=3702 GN=RPL30B PE=3 SV=1	False
Q8VZ23	-0.65	0.079678586	0.122917181	At1g04420	MEM	NAD(P)-linked oxidoreductase superfamily protein OS=Arabidopsis thaliana OX=3702 GN=At1g04420 PE=1 SV=1	False
Q8VZ31	-0.71	0.012936288	0.070143061	TPR4	SOL	Tetratricopeptide repeat (TPR)-like superfamily protein OS=Arabidopsis thaliana OX=3702 GN=TPR4 PE=1 SV=1	False
Q8VZ49	-0.24	0.04396758	0.07796045	At1g64710	MEM	Alcohol dehydrogenase-like 4 OS=Arabidopsis thaliana OX=3702 GN=At1g64710 PE=2 SV=1	False
Q8VZ50	0.31	0.077325039	0.119863484	CML14	MEM	Probable calcium-binding protein CML14 OS=Arabidopsis thaliana OX=3702 GN=CML14 PE=2 SV=1	False
Q8VZ57	-0.33	0.012564931	0.034032616	At1g52510	MEM	Alpha/beta-Hydrolases superfamily protein OS=Arabidopsis thaliana OX=3702 GN=At1g52510 PE=1 SV=1	True
Q8VZ68	0.31	0.002482232	0.038076975	At1g52670	SOL	Is a member of the PF|00364 Biotin-requiring enzymes family OS=Arabidopsis thaliana OX=3702 GN=At1g52670 PE=1 SV=1	True
Q8VZ74	-0.63	0.002018852	0.012885434	At5g66470	MEM	GTPase ERA-like, chloroplastic OS=Arabidopsis thaliana OX=3702 GN=At5g66470 PE=2 SV=1	True
Q8VZ93	0.33	0.038114128	0.116971932	F24G16.11	SOL	Allyl alcohol dehydrogenase-like protein OS=Arabidopsis thaliana OX=3702 GN=F24G16.11 PE=1 SV=1	False
Q8VZ95	-0.04	0.213847681	0.273504885	PVA11	MEM	Vesicle-associated protein 1-1 OS=Arabidopsis thaliana OX=3702 GN=PVA11 PE=1 SV=1	False
Q8VZB1	0.83	0.014678697	0.037229567	EMB2799	MEM	NAD(P)-binding Rossmann-fold superfamily protein OS=Arabidopsis thaliana OX=3702 GN=EMB2799 PE=1 SV=1	True
Q8VZB5	-0.52	0.016618456	0.078203446	At5g14260	SOL	Rubisco methyltransferase family protein OS=Arabidopsis thaliana OX=3702 GN=At5g14260 PE=1 SV=1	False
Q8VZB9	1.32	3.91572e-06	0.002757313	RPL10AA	MEM	60S ribosomal protein L10a-1 OS=Arabidopsis thaliana OX=3702 GN=RPL10AA PE=1 SV=1	True
Q8VZC3	-0.02	0.319279478	0.42717581	ALDH12A1	SOL	Delta-1-pyrroline-5-carboxylate dehydrogenase 12A1, mitochondrial OS=Arabidopsis thaliana OX=3702 GN=ALDH12A1 PE=2 SV=1	False
Q8VZC7	-0.21	0.158716656	0.214009559	At5g45510	MEM	Probable disease resistance protein At5g45510 OS=Arabidopsis thaliana OX=3702 GN=At5g45510 PE=1 SV=2	False
Q8VZC9	-0.19	0.039043934	0.117903776	VPS25	SOL	Vacuolar protein sorting-associated protein 25 OS=Arabidopsis thaliana OX=3702 GN=VPS25 PE=1 SV=1	False
Q8VZE9	0.49	0.098645984	0.196156892	UGT73B1	SOL	UDP-glycosyltransferase 73B1 OS=Arabidopsis thaliana OX=3702 GN=UGT73B1 PE=2 SV=1	False
Q8VZF1	-0.37	0.00030986	0.021124485	AAE7	SOL	Acetate/butyrate--CoA ligase AAE7, peroxisomal OS=Arabidopsis thaliana OX=3702 GN=AAE7 PE=1 SV=1	True
Q8VZF3	-0.23	0.118097563	0.168454437	GEP	MEM	Probable glutamyl endopeptidase, chloroplastic OS=Arabidopsis thaliana OX=3702 GN=GEP PE=2 SV=2	False
Q8VZG1	-0.7	0.000426231	0.006831782	DGK3	MEM	Diacylglycerol kinase 3 OS=Arabidopsis thaliana OX=3702 GN=DGK3 PE=1 SV=1	True
Q8VZG7	-0.33	0.000117916	0.016850672	TSN1	SOL	Ribonuclease TUDOR 1 OS=Arabidopsis thaliana OX=3702 GN=TSN1 PE=1 SV=1	True
Q8VZG8	0.88	0.009300661	0.029120973	MIK2	MEM	MDIS1-interacting receptor like kinase 2 OS=Arabidopsis thaliana OX=3702 GN=MIK2 PE=1 SV=3	True
Q8VZH1	-0.61	0.000700079	0.008298263	At3g23530	MEM	AT3g23510/MEE5_5 OS=Arabidopsis thaliana OX=3702 GN=At3g23530 PE=1 SV=1	True
Q8VZH2	0.06	0.096677816	0.193537945	APM1	SOL	Aminopeptidase M1 OS=Arabidopsis thaliana OX=3702 GN=APM1 PE=1 SV=1	False
Q8VZI2	-0.13	0.592230938	0.645659562	CBSDUF6	MEM	DUF21 domain-containing protein At4g33700 OS=Arabidopsis thaliana OX=3702 GN=CBSDUF6 PE=1 SV=1	False
Q8VZJ5	-0.38	0.001554695	0.011409741	At5g23575	MEM	AT5g08500/MAH20_6 OS=Arabidopsis thaliana OX=3702 GN=At5g23575 PE=1 SV=1	True
Q8VZK2	0.38	0.017843062	0.041968003	At5g11900	MEM	Translation machinery-associated protein 22 OS=Arabidopsis thaliana OX=3702 GN=At5g11900 PE=1 SV=1	True
Q8VZK9	-0.33	0.015878646	0.039078458	CSLE1	MEM	Cellulose synthase-like protein E1 OS=Arabidopsis thaliana OX=3702 GN=CSLE1 PE=2 SV=1	True
Q8VZL4	0.17	0.470011139	0.530138793	MSL1	MEM	Mechanosensitive ion channel protein 1, mitochondrial OS=Arabidopsis thaliana OX=3702 GN=MSL1 PE=1 SV=1	False
Q8VZM1	0.24	0.046234017	0.080837764	NAA15	MEM	N-terminal acetyltransferase A complex auxiliary subunit NAA15 OS=Arabidopsis thaliana OX=3702 GN=NAA15 PE=1 SV=1	False
Q8VZN9	-0.17	0.188512194	0.294540393	At1g43900	SOL	Probable protein phosphatase 2C 11 OS=Arabidopsis thaliana OX=3702 GN=At1g43900 PE=2 SV=1	False
Q8VZP1	1.14	0.004611714	0.019641	GPP2	MEM	(DL)-glycerol-3-phosphatase 2 OS=Arabidopsis thaliana OX=3702 GN=GPP2 PE=1 SV=1	True
Q8VZS8	-0.02	0.866733953	0.898034022	PYL1	SOL	Abscisic acid receptor PYL1 OS=Arabidopsis thaliana OX=3702 GN=PYL1 PE=1 SV=1	False
Q8VZT0	0.24	0.008513029	0.027856188	At3g03920	MEM	Putative H/ACA ribonucleoprotein complex subunit 1-like protein 1 OS=Arabidopsis thaliana OX=3702 GN=At3g03920 PE=2 SV=1	True
Q8VZT4	0.65	0.00208324	0.013064687	At1g29370	MEM	RNA polymerase II degradation factor-like protein (DUF1296) OS=Arabidopsis thaliana OX=3702 GN=At1g29370 PE=1 SV=1	True
Q8VZT6	-0.59	0.073419831	0.165028059	WCRKC2	SOL	Thioredoxin-like 3-2, chloroplastic OS=Arabidopsis thaliana OX=3702 GN=WCRKC2 PE=2 SV=1	False
Q8VZU2	0.32	0.050399069	0.086000467	SYP132	MEM	Syntaxin-132 OS=Arabidopsis thaliana OX=3702 GN=SYP132 PE=1 SV=1	False
Q8VZW3	-0.03	0.551645765	0.636632968	CHI3	SOL	Probable chalcone--flavanone isomerase 3 OS=Arabidopsis thaliana OX=3702 GN=CHI3 PE=1 SV=1	False
Q8VZW6	-0.22	0.232007766	0.292901531	At3g08740	MEM	Elongation factor P (EF-P) family protein OS=Arabidopsis thaliana OX=3702 GN=At3g08740 PE=1 SV=1	False
Q8W033	-0.52	0.003459894	0.016582151	ALDH3I1	MEM	Aldehyde dehydrogenase family 3 member I1, chloroplastic OS=Arabidopsis thaliana OX=3702 GN=ALDH3I1 PE=1 SV=2	True
Q8W034	-0.25	0.105350443	0.204363961	RNP1	SOL	Heterogeneous nuclear ribonucleoprotein 1 OS=Arabidopsis thaliana OX=3702 GN=RNP1 PE=1 SV=1	False
Q8W0Y8	-0.21	0.073497805	0.165103442	PSB28	SOL	Photosystem II reaction center PSB28 protein, chloroplastic OS=Arabidopsis thaliana OX=3702 GN=PSB28 PE=2 SV=1	False
Q8W0Z7	0.26	0.288900948	0.398002029	At3g05190	SOL	Branched-chain-amino-acid aminotransferase-like protein 1 OS=Arabidopsis thaliana OX=3702 GN=At3g05190 PE=2 SV=1	False
Q8W0Z9	-0.35	0.00170659	0.034565294	CCR4-1	SOL	Carbon catabolite repressor protein 4 homolog 1 OS=Arabidopsis thaliana OX=3702 GN=CCR4-1 PE=2 SV=1	True
Q8W112	0.75	0.015673054	0.038777873	At5g20950	MEM	Beta-D-glucan exohydrolase-like protein OS=Arabidopsis thaliana OX=3702 GN=At5g20950 PE=1 SV=1	True
Q8W1B3	-0.18	0.744253552	0.79886583	PRIP	SOL	At4g21445 OS=Arabidopsis thaliana OX=3702 GN=PRIP PE=1 SV=1	False
Q8W1X2	0.07	0.31260991	0.420634745	PK	SOL	Pyridoxal kinase OS=Arabidopsis thaliana OX=3702 GN=PK PE=1 SV=2	False
Q8W207	0.2	0.58839279	0.642454964	CSN2	MEM	COP9 signalosome complex subunit 2 OS=Arabidopsis thaliana OX=3702 GN=CSN2 PE=1 SV=1	False
Q8W456	0.46	0.020133667	0.084896021	T20H2.2	SOL	Thioredoxin superfamily protein OS=Arabidopsis thaliana OX=3702 GN=T20H2.2 PE=1 SV=1	False
Q8W463	0.3	0.225144461	0.285750817	At4g17560	MEM	50S ribosomal protein L19-1, chloroplastic OS=Arabidopsis thaliana OX=3702 GN=At4g17560 PE=2 SV=1	False
Q8W471	-0.71	0.007915095	0.026786227	AAE15	MEM	Long-chain-fatty-acid--[acyl-carrier-protein] ligase AEE15, chloroplastic OS=Arabidopsis thaliana OX=3702 GN=AAE15 PE=1 SV=1	True
Q8W482	0.37	0.257958741	0.320183061	MLP3.2	MEM	Fanconi anemia group D2 protein OS=Arabidopsis thaliana OX=3702 GN=MLP3.2 PE=1 SV=1	False
Q8W486	-1.07	0.007549741	0.026159066	OFUT1	MEM	O-fucosyltransferase 1 OS=Arabidopsis thaliana OX=3702 GN=OFUT1 PE=2 SV=1	True
Q8W493	-0.52	0.011776929	0.033089283	LFNR2	MEM	Ferredoxin--NADP reductase, leaf isozyme 2, chloroplastic OS=Arabidopsis thaliana OX=3702 GN=LFNR2 PE=1 SV=1	True
Q8W496	-0.93	0.011537924	0.032639857	PTC52	MEM	Protochlorophyllide-dependent translocon component 52, chloroplastic OS=Arabidopsis thaliana OX=3702 GN=PTC52 PE=2 SV=1	True
Q8W497	-0.26	0.066116724	0.15633505	At2g19870	SOL	Uncharacterized protein At2g19870; F6F22.10 OS=Arabidopsis thaliana OX=3702 GN=At2g19870 PE=1 SV=1	False
Q8W498	-0.23	0.163706516	0.267245853	At4g27640	SOL	ARM repeat superfamily protein OS=Arabidopsis thaliana OX=3702 GN=At4g27640 PE=1 SV=1	False
Q8W4A0	-0.38	0.007773051	0.055063433	F14P3.15	SOL	Eukaryotic translation initiation factor 3 subunit M OS=Arabidopsis thaliana OX=3702 GN=F14P3.15 PE=1 SV=1	False
Q8W4C1	-0.13	0.223575736	0.330165202	At4g12790	SOL	AT4G12790 protein OS=Arabidopsis thaliana OX=3702 GN=At4g12790 PE=1 SV=1	False
Q8W4C5	-0.16	0.397825243	0.500040491	At1g77480	SOL	Eukaryotic aspartyl protease family protein OS=Arabidopsis thaliana OX=3702 GN=At1g77480 PE=1 SV=1	False
Q8W4D0	-0.51	0.002955623	0.015378837	CYP71	MEM	Peptidyl-prolyl cis-trans isomerase CYP71 OS=Arabidopsis thaliana OX=3702 GN=CYP71 PE=1 SV=1	True
Q8W4D4	-0.33	0.08289008	0.126672836	BAGP1	MEM	BAG-associated GRAM protein 1 OS=Arabidopsis thaliana OX=3702 GN=BAGP1 PE=1 SV=1	False
Q8W4D6	-0.38	0.003832268	0.017499051	HCF173	MEM	Protein HIGH CHLOROPHYLL FLUORESCENCE PHENOTYPE 173, chloroplastic OS=Arabidopsis thaliana OX=3702 GN=HCF173 PE=1 SV=1	True
Q8W4D7	-0.71	0.011504206	0.032585078	T1B9.16	MEM	GPI transamidase component PIG-S-like protein OS=Arabidopsis thaliana OX=3702 GN=T1B9.16 PE=1 SV=1	True
Q8W4E1	-0.04	0.550585372	0.635705392	RH47	SOL	DEAD-box ATP-dependent RNA helicase 47, mitochondrial OS=Arabidopsis thaliana OX=3702 GN=RH47 PE=1 SV=2	False
Q8W4E2	0.25	0.008810496	0.028392432	VHA-B3	MEM	V-type proton ATPase subunit B3 OS=Arabidopsis thaliana OX=3702 GN=VHA-B3 PE=2 SV=1	True
Q8W4E6	-1.04	0.003969687	0.017977732	HPAT1	MEM	Hydroxyproline O-arabinosyltransferase 1 OS=Arabidopsis thaliana OX=3702 GN=HPAT1 PE=1 SV=1	True
Q8W4F1	-0.56	0.006874763	0.02499498	PAP10	MEM	Probable plastid-lipid-associated protein 10, chloroplastic OS=Arabidopsis thaliana OX=3702 GN=PAP10 PE=1 SV=1	True
Q8W4F3	-0.29	0.023693701	0.091542081	OVA9	SOL	Glutamine--tRNA ligase, cytoplasmic OS=Arabidopsis thaliana OX=3702 GN=OVA9 PE=2 SV=1	False
Q8W4H8	0.55	0.005324301	0.021447215	GLL23	MEM	Inactive GDSL esterase/lipase-like protein 23 OS=Arabidopsis thaliana OX=3702 GN=GLL23 PE=1 SV=1	True
Q8W4I6	-0.2	0.125041514	0.22707319	BPG2	SOL	GTP-binding protein BRASSINAZOLE INSENSITIVE PALE GREEN 2, chloroplastic OS=Arabidopsis thaliana OX=3702 GN=BPG2 PE=1 SV=1	False
Q8W4J9	-0.36	0.018592299	0.042935613	RPP8	MEM	Disease resistance protein RPP8 OS=Arabidopsis thaliana OX=3702 GN=RPP8 PE=1 SV=2	True
Q8W4K6	-0.59	0.166228543	0.26952745	NIG	SOL	At4g13350 OS=Arabidopsis thaliana OX=3702 GN=NIG PE=1 SV=1	False
Q8W4L3	1.03	0.012293055	0.033698925	BSK3	MEM	Serine/threonine-protein kinase BSK3 OS=Arabidopsis thaliana OX=3702 GN=BSK3 PE=1 SV=1	True
Q8W4M5	0.22	0.00090247	0.009328871	PFP-BETA1	MEM	Pyrophosphate--fructose 6-phosphate 1-phosphotransferase subunit beta 1 OS=Arabidopsis thaliana OX=3702 GN=PFP-BETA1 PE=1 SV=1	True
Q8W4P1	-1.0	0.000687187	0.008282784	CDKC-2	MEM	Cyclin-dependent kinase C-2 OS=Arabidopsis thaliana OX=3702 GN=CDKC-2 PE=1 SV=2	True
Q8W4Q1	-0.33	0.088260914	0.132848829	At4g35360	MEM	At4g35360/F23E12_80 OS=Arabidopsis thaliana OX=3702 GN=At4g35360 PE=1 SV=1	False
Q8W4Q4	-0.16	0.08606895	0.13041558	MRF3	MEM	MA3 DOMAIN-CONTAINING TRANSLATION REGULATORY FACTOR 3 OS=Arabidopsis thaliana OX=3702 GN=MRF3 PE=1 SV=1	False
Q8W4S4	0.1	0.634983588	0.685824535	VHA-a3	MEM	V-type proton ATPase subunit a3 OS=Arabidopsis thaliana OX=3702 GN=VHA-a3 PE=1 SV=1	False
Q8W575	-0.65	0.023113474	0.090876528	CSN3	SOL	COP9 signalosome complex subunit 3 OS=Arabidopsis thaliana OX=3702 GN=CSN3 PE=1 SV=2	False
Q8W585	-0.28	0.130594985	0.182636448	FTSH8	MEM	ATP-dependent zinc metalloprotease FTSH 8, chloroplastic OS=Arabidopsis thaliana OX=3702 GN=FTSH8 PE=1 SV=1	False
Q8W586	0.14	0.155070583	0.258677131	QQT2	SOL	GPN-loop GTPase QQT2 OS=Arabidopsis thaliana OX=3702 GN=QQT2 PE=1 SV=1	False
Q8W593	0.29	0.066028923	0.15633505	At1g67280	SOL	Probable lactoylglutathione lyase, chloroplastic OS=Arabidopsis thaliana OX=3702 GN=At1g67280 PE=1 SV=1	False
Q93V62	-0.1	0.891272717	0.917575277	At4g27450	SOL	AT4g27450/F27G19_50 OS=Arabidopsis thaliana OX=3702 GN=At4g27450 PE=1 SV=1	False
Q93V66	0.13	0.91273055	0.926995082	FAX1	MEM	Protein FATTY ACID EXPORT 1, chloroplastic OS=Arabidopsis thaliana OX=3702 GN=FAX1 PE=1 SV=1	False
Q93V74	0.09	0.112340802	0.213556318	CYCLASE1	SOL	Cyclase-like protein 1 OS=Arabidopsis thaliana OX=3702 GN=CYCLASE1 PE=1 SV=1	False
Q93V88	-0.36	0.001672492	0.03423771	At4g33500	SOL	Probable protein phosphatase 2C 62 OS=Arabidopsis thaliana OX=3702 GN=At4g33500 PE=2 SV=1	True
Q93V93	1.17	0.020293673	0.085199031	PER44	SOL	Peroxidase 44 OS=Arabidopsis thaliana OX=3702 GN=PER44 PE=2 SV=1	False
Q93VA8	-0.31	0.084680546	0.179034023	At1g76010	SOL	Alba DNA/RNA-binding protein OS=Arabidopsis thaliana OX=3702 GN=At1g76010 PE=1 SV=1	False
Q93VB0	0.34	0.004687715	0.019820495	At2g40660	MEM	Nucleic acid-binding, OB-fold-like protein OS=Arabidopsis thaliana OX=3702 GN=At2g40660 PE=1 SV=1	True
Q93VB8	0.55	0.005662971	0.022299147	RPS2B	MEM	40S ribosomal protein S2-2 OS=Arabidopsis thaliana OX=3702 GN=RPS2B PE=2 SV=1	True
Q93VC7	-0.54	0.003059472	0.015708105	RPS1	MEM	30S ribosomal protein S1, chloroplastic OS=Arabidopsis thaliana OX=3702 GN=RPS1 PE=1 SV=1	True
Q93VC9	0.32	0.131919122	0.236214698	CATHB2	SOL	Cathepsin B-like protease 2 OS=Arabidopsis thaliana OX=3702 GN=CATHB2 PE=2 SV=1	False
Q93VG5	0.22	0.008454768	0.027743699	RPS8A	MEM	40S ribosomal protein S8-1 OS=Arabidopsis thaliana OX=3702 GN=RPS8A PE=1 SV=1	True
Q93VH5	-0.11	0.223031638	0.329558183	MAJ23.90	SOL	AT5g10730/MAJ23_90 OS=Arabidopsis thaliana OX=3702 GN=MAJ23.90 PE=1 SV=1	False
Q93VI3	-0.45	0.002107753	0.013163543	RPL17A	MEM	60S ribosomal protein L17-1 OS=Arabidopsis thaliana OX=3702 GN=RPL17A PE=2 SV=1	True
Q93VI4	-0.02	0.312269587	0.420634745	PABN1	SOL	Polyadenylate-binding protein 1 OS=Arabidopsis thaliana OX=3702 GN=PABN1 PE=1 SV=1	False
Q93VK5	-0.47	0.023210286	0.049721804	CYP97A3	MEM	Protein LUTEIN DEFICIENT 5, chloroplastic OS=Arabidopsis thaliana OX=3702 GN=CYP97A3 PE=1 SV=1	True
Q93VP3	1.67	0.000629071	0.007921046	ELF5A-2	MEM	Eukaryotic translation initiation factor 5A-2 OS=Arabidopsis thaliana OX=3702 GN=ELF5A-2 PE=1 SV=1	True
Q93VP9	-0.38	0.027167059	0.055586815	AtSLP1	MEM	SPFH/Band 7/PHB domain-containing membrane-associated protein family OS=Arabidopsis thaliana OX=3702 GN=AtSLP1 PE=1 SV=1	False
Q93VQ0	-0.59	0.007763711	0.055063433	VCL1	SOL	Protein VACUOLELESS1 OS=Arabidopsis thaliana OX=3702 GN=VCL1 PE=1 SV=1	False
Q93VR3	0.51	0.042109774	0.075635871	At5g28840	MEM	GDP-mannose 3,5-epimerase OS=Arabidopsis thaliana OX=3702 GN=At5g28840 PE=1 SV=1	False
Q93VR4	-0.5	0.003777892	0.017406025	MLP423	MEM	MLP-like protein 423 OS=Arabidopsis thaliana OX=3702 GN=MLP423 PE=2 SV=1	True
Q93VS5	-0.21	0.099445035	0.197165436	At4g18905	SOL	AT4g18900/F13C5_70 OS=Arabidopsis thaliana OX=3702 GN=At4g18905 PE=1 SV=1	False
Q93VS8	-0.3	0.007060349	0.052942806	emb2734	SOL	ARM repeat superfamily protein OS=Arabidopsis thaliana OX=3702 GN=emb2734 PE=1 SV=1	False
Q93VT6	-0.61	0.012134208	0.033441042	MAH20.10	MEM	Ribosomal RNA small subunit methyltransferase J OS=Arabidopsis thaliana OX=3702 GN=MAH20.10 PE=1 SV=1	True
Q93VT9	-0.21	0.045216347	0.079553993	RPL10A	MEM	60S ribosomal protein L10-1 OS=Arabidopsis thaliana OX=3702 GN=RPL10A PE=1 SV=1	False
Q93W02	-0.16	0.12401171	0.174797637	MXC17.8	MEM	AT5g24690/MXC17_8 OS=Arabidopsis thaliana OX=3702 GN=MXC17.8 PE=1 SV=1	False
Q93W05	-0.07	0.184841196	0.242960287	At1g10590	MEM	At1g10590/F20B24_1 OS=Arabidopsis thaliana OX=3702 GN=At1g10590 PE=1 SV=1	False
Q93W22	0.28	0.158655748	0.214009559	RPL10C	MEM	60S ribosomal protein L10-3 OS=Arabidopsis thaliana OX=3702 GN=RPL10C PE=2 SV=1	False
Q93W28	1.47	0.000433282	0.006894667	At4g15545	MEM	Uncharacterized protein At4g15545 OS=Arabidopsis thaliana OX=3702 GN=At4g15545 PE=1 SV=1	True
Q93W30	0.08	0.521627053	0.612645904	At2g35605	SOL	Expressed protein OS=Arabidopsis thaliana OX=3702 GN=At2g35605 PE=1 SV=1	False
Q93W34	-0.23	0.080675834	0.173085867	RBP45C	SOL	Polyadenylate-binding protein RBP45C OS=Arabidopsis thaliana OX=3702 GN=RBP45C PE=2 SV=1	False
Q93W77	-0.22	0.036096748	0.067753399	NIFU1	MEM	NifU-like protein 1, chloroplastic OS=Arabidopsis thaliana OX=3702 GN=NIFU1 PE=1 SV=1	False
Q93WC8	1.08	0.01747888	0.041274008	At3g04830	MEM	ER membrane protein complex subunit 2 OS=Arabidopsis thaliana OX=3702 GN=At3g04830 PE=1 SV=1	True
Q93WD7	-0.46	0.103607699	0.202387099	TRM82	SOL	tRNA (guanine-N(7)-)-methyltransferase non-catalytic subunit OS=Arabidopsis thaliana OX=3702 GN=TRM82 PE=1 SV=1	False
Q93WF1	0.67	0.007552828	0.026159066	At5g48900	MEM	Probable pectate lyase 20 OS=Arabidopsis thaliana OX=3702 GN=At5g48900 PE=2 SV=1	True
