TAIR	log2fc	pvalue	fdr	significant
AT1G12390	0.27192294167261566	0.08464840221899621	0.30576268652001903	False
AT1G12400	-0.2466230737227876	0.47545990767406143	0.7394384931435085	False
AT1G12410	-0.1738310824155735	0.10300763275640032	0.34033552795647737	False
AT1G12420	0.18582272865689126	0.38296417441243613	0.671467819477448	False
AT1G12430	0.185313655718593	0.08795988368857739	0.31204763017301235	False
AT1G12440	0.2777413585053122	0.029180268043799043	0.1639784745058341	False
AT1G12450	1.0227689698987774	3.584031799994523e-06	0.00025185968921779693	True
AT1G12460	0.4002499886286101	0.011048354072076343	0.08902752691224412	False
AT1G12470	-0.1311002730059653	0.17372418214174368	0.4525074106486117	False
AT1G12480	-0.10126665233774099	0.6377010509457618	0.8340184920313994	False
AT1G12490	1.5705984118967862	0.14144130966577362		False
AT1G12500	0.10815321267117978	0.49595087611195965	0.7518828493656248	False
AT1G12520	0.24129790625006958	0.30689191121428816	0.6046042898355112	False
AT1G12530	-0.6906493119942269	0.0003003636342014473	0.007328948523917891	True
AT1G12550	-0.2513512478551315	0.3092502257959996	0.6070938136516898	False
AT1G12570	0.8250345828290299	0.4357731345286797		False
AT1G12580	0.32707613756490417	0.0034242813493738783	0.04072260743178474	True
AT1G12620	0.017177769994567663	0.9212441794478384	0.9709987641284642	False
AT1G12640	0.002267614075838091	0.9875685832435392	0.9957094418104762	False
AT1G12650	0.14503658301212113	0.23017830967909303	0.5215989487040892	False
AT1G12680	0.20370637165698396	0.08282114628553741	0.30215568283330385	False
AT1G12700	0.41942301186145997	0.03793615897795691	0.19145913438671752	False
AT1G12710	1.3312928625370815	2.288174670662234e-09	6.408547175441692e-07	True
AT1G12730	0.11813784259048057	0.45255604094663426	0.7233784525470395	False
AT1G12740	0.9712382746443953	0.5721492860992394		False
AT1G12750	-0.13754214528283645	0.5941817572057262	0.8120049825331064	False
AT1G12760	-0.11254976491009787	0.2803145174777051	0.5771087660646701	False
AT1G12770	0.08260491267359389	0.48587004609901463	0.7461429446275223	False
AT1G12775	-0.00866853296622836	0.9551988528398416	0.983000750651813	False
AT1G12780	0.655421434106508	0.018063583084891047	0.12140090891488182	False
AT1G12790	0.6657640231563609	0.00010204267870780102	0.003286624610047091	True
AT1G12800	-0.14985498784809115	0.2821055723273165	0.578951360000539	False
AT1G12810	-0.20080415262956008	0.15789111395844257	0.42902780894922704	False
